date,open,high,low,close,adj_close,volume
23-02-2022,150.0399933,150.0399933,166.6549988,149.8500061,165.9299927,9778500
24-02-2022,158.2599945,158.2599945,158.9600067,141.1799927,141.3000031,10354600
25-02-2022,155.0899963,155.0899963,159.4499969,152.9100037,159.2599945,6173200
28-02-2022,151.4900055,151.4900055,155.095993,148.3000031,155.0249939,11078500
01-03-2022,151.0099945,151.0099945,154.2200012,149.9499969,150.5299988,5165800
02-03-2022,157.5299988,157.5299988,158.0800018,151.8899994,152.4799957,5028300
03-03-2022,151.6900024,151.6900024,159.2200012,150.9900055,158.3300018,4045800
04-03-2022,142.6999969,142.6999969,151.8899994,140.4600067,150.7700043,8390800
07-03-2022,131.5899963,131.5899963,145.2700043,131.5200043,145,9177300
08-03-2022,142.1300049,142.1300049,144.4700012,131.5,131.6300049,9587000
09-03-2022,148.3099976,148.3099976,150.9900055,145.3300018,145.4299927,7023900
10-03-2022,151.8000031,151.8000031,152.8899994,144.4089966,145.2200012,5302500
11-03-2022,145.1399994,145.1399994,155,145,154.1300049,4577300
14-03-2022,138.5,138.5,144.6699982,136.0399933,143.4100037,6330200
15-03-2022,143.9499969,143.9499969,144.7299957,138.3200073,140,5488700
16-03-2022,155.75,155.75,156.9799957,146.3099976,148.1450043,7105400
17-03-2022,157.5500031,157.5500031,157.6000061,151.0500031,153.7899933,5031700
18-03-2022,167,167,167.1799927,155.6999969,156.0700073,8467500
21-03-2022,161.8000031,161.8000031,165.9499969,159,164.5700073,4584400
22-03-2022,166.4400024,166.4400024,168.1750031,162,163.6100006,4099900
23-03-2022,164.1600037,164.1600037,166.8899994,162.8800049,163.6399994,2814300
24-03-2022,170.8300018,170.8300018,171,162.6679993,164.8099976,4223500
25-03-2022,167.2200012,167.2200012,170.6100006,164.1340027,169.9400024,2952300
28-03-2022,167.6499939,167.6499939,168.7189941,162.4299927,167.2200012,3829800
29-03-2022,175.5200043,175.5200043,178.8800049,171.8099976,172.1100006,5452800
30-03-2022,173.6300049,173.6300049,176.8200073,172.0200043,173.1309967,3707400
31-03-2022,171.7599945,171.7599945,176.1499939,171.1640015,173.5399933,3232200
01-04-2022,173.0700073,173.0700073,177.9400024,172.2299957,173.0599976,3644900
04-04-2022,177.0200043,177.0200043,177.0200043,172.5850067,175.0200043,3495700
05-04-2022,171.2100067,171.2100067,179.0899963,170.1199951,177.1900024,4065000
06-04-2022,164.6600037,164.6600037,168.7700043,161.5800018,167.0500031,4287700
07-04-2022,165.9100037,165.9100037,167.8600006,161.7100067,163.1900024,4146600
08-04-2022,162.5599976,162.5599976,164.8999939,159.3500061,162.5200043,3448400
11-04-2022,160.25,160.25,163.5700073,157.4100037,159.8399963,3877200
12-04-2022,160.1100006,160.1100006,166.1100006,157.2799988,163.6999969,4113000
13-04-2022,171.8500061,171.8500061,172.9600067,160.6499939,160.8399963,7211900
14-04-2022,170.6999969,170.6999969,174.6399994,170.2949982,171.6600037,5125100
18-04-2022,165.7400055,165.7400055,170.1199951,164.3500061,169.2700043,3339900
19-04-2022,170.1199951,170.1199951,170.8200073,165.7100067,165.7400055,2857100
20-04-2022,164.5500031,164.5500031,172.6100006,164.3099976,172.6100006,3997900
21-04-2022,157.9100037,157.9100037,170.9299927,156.6799927,168.9799957,4714600
22-04-2022,156.0899963,156.0899963,161.6699982,154.7799988,157.8399963,3863400
25-04-2022,158.3899994,158.3899994,159.7899933,152.1000061,154.3300018,3868100
26-04-2022,153.0399933,153.0399933,159.1999969,152.8000031,158.3999939,4075000
